unit;origin;destination;flights;persons;CO2
Dez. OB;CGN;SAW;2;1;1006
Dez. OB;CGN;GIG;2;1;6256
Dez. OB;CGN;VIE;2;1;484
Dez. OB;CGN;ARN;2;2;1420
Dez. OB;CGN;TLV;2;1;1302
Dez. OB;CGN;MGA;2;1;5966
Dez. OB;CGN;CLJ;2;1;760
Dez. OB;CGN;PEK;2;1;4870
Dez. OB;CGN;PRG;2;1;118
Dez. I;CGN;TXL;4;1;496
Dez. I;CGN;TXL;14;1;1736
Dez. I;CGN;TXL;2;2;496
Dez. I;DUS;ARL;2;1;2390
Dez. I;DUS;ARN;2;1;754
Dez. III;CGN;TLV;2;1;1302
Dez. IV;CGN;TXL;4;1;496
Dez. IV;CGN -> MUC -> PEK -> SHA -> FRA:;FRA:;1;9;50571
Dez. V;FRA:;SOF;2;1;966
Dez. V;CGN;TXL;2;1;248
Dez. V;CGN;TXL;2;2;496
Dez. V;CGN;BCN;2;1;682
Dez. V;DUS;ARN;2;1;754
Dez. V;DUS;ARN;2;2;1508
Dez. V;DUS;ATL;2;1;3624
Dez. V;FRA:;JNB;2;1;5826
Dez. V;FRA:;LIM;2;1;7340
Dez. V;FRA:;OSL;2;1;684
Dez. V;AMS;LIM;2;2;10992
Dez. V;JNB;PLZ;2;1;528
Dez. V;GOA;CGN;1;1;226
Dez. VI;CGN;MUC;2;3;714
Dez. VI;CGN;MUC;4;1;476
Dez. VI;CGN;HAM;4;2;808
Dez. VI;CGN;HAM;2;1;202
Dez. VI;FRA:;BSL;2;1;150
Dez. VI;MUC;CGN;1;6;714
Dez. VI;CGN;MUC;1;1;119
Dez. VI;CGN -> ZRH -> NCE -> MUC -> CGN;CGN;1;1;590
Dez. VI;CGN -> ZRH -> NCE -> ZRH -> CGN;CGN;2;1;500
Dez. VI;CGN -> ZRH -> NCE -> CGN;CGN;1;1;499
Dez. VI;ZRH -> NCE -> ZRH -> CGN;CGN;1;1;379
Dez. VI;FRA -> PEK -> CKG -> PEK -> FRA:;FR A;2;1;5828
01;CGN;TXL;4;1;496
01;CGN;HAM;4;1;404
01;CGN;ARN;2;1;710
01;FRA;GIG;2;1;6306
01;FRA;KTW;2;1;542
01;DUS;PRG;2;1;336
01;CDG;MPL;2;1;332
01;TXG;CGN;1;1;3082
01;FRA;WMI;1;1;302
01;CDG;MUC;1;1;195
01;DUS;TXL;1;1;134
01;CGN > MUC > LCJ > MUC > CGN;CGN;2;1;650
01;MUC > CLJ > FRA > CGN;CGN;1;1;707
01;CGN > MUC > CLJ > MUC > CGN;CGN;2;1;840
01;DUS > AMS > LIM > PCL > LIM > AMS > DUS;DUS;2;1;5890
01;AMS > PTY > MGA > ATL > AMS;AMS;1;1;5280
01;CGN;TXL;14;1;1736
01;DUS;PRG;2;1;336
01;FRA;PEK;2;2;10148
01;MUC;TXL;1;1;119
01;TXL;CGN;1;1;124
01;CGN;TXL;2;1;248
01;CGN > LIS > GIG > LIS > CGN;CGN;2;1;5060
11;CGN;VIE;2;1;484
11;CGN;BCN;2;12;8184
11;CGN;TXL;2;1;248
11;CGN;TXL;2;2;496
11;CGN;DRS;2;2;596
11;CGN;TLV;2;4;5208
11;CGN;ITM;2;1;5996
11;MUC;CGN;1;1;119
11;CGN;TXL;1;1;124
11;CGN -> EWR -> JFK -> CGN;CGN;2;2;7104
12;CGN;LHR;6;1;966
12;CGN;TXL;20;1;2480
12;CGN;DRS;2;1;298
13;CGN;TXL;10;1;1240
13;CGN;TXL;2;2;496
13;CGN;TXL;1;1;124
13;CDG > TXL > CGN;CGN;1;1;357
14;CGN;TXL;2;1;248
14;CGN;VIE;2;2;968
15;CGN;BER;1;1;124
16;CGN;TXL;6;1;744
16;CGN;TXL;2;2;496
